County,pres16,suprm17,suprr17,pres20,audgen20,suprm21,suprr21
ADAMS,-0.3769335261382061,-0.43275222292235527,-0.2727946627131208,-0.3465996770141755,-0.400812316992538,-0.2981530343007916,-0.350104821802935
ALLEGHENY,0.17244062720759312,0.2639070595007588,0.32502576472452366,0.20627392326842275,0.1802684400229395,0.24997174396262672,0.17324864948827257
ARMSTRONG,-0.5317983171352163,-0.4272841421079843,-0.24818391211906454,-0.5294608579535971,-0.5203379953379954,-0.40946831755280405,-0.5021276595744681
BEAVER,-0.19375944880914026,-0.08777653175655015,0.08083718295553322,-0.17912167181662553,-0.17847519416706298,-0.1047860573031889,-0.19770370169785267
BEDFORD,-0.6857352243824633,-0.5492772667542707,-0.48700358259013643,-0.6811477803738317,-0.7112250712250712,-0.5664442743082139,-0.6333224007871434
BERKS,-0.10389973895112048,-0.21515973278655998,-0.10820981350115466,-0.08311166603333153,-0.12312230779271638,-0.14713424353732063,-0.20452511466607004
BLAIR,-0.47420563916147135,-0.4146203462713591,-0.3821319764567017,-0.4396110705093578,-0.4923381528376287,-0.4390033013677095,-0.5347921914357683
BRADFORD,-0.4802937576499388,-0.5189818809318378,-0.3839853566220954,-0.4571948998178506,-0.5044203081586258,-0.4654480225506108,-0.5174388339406559
BUCKS,0.008143720524649956,-0.018921869722652085,0.03781207473395254,0.044238533560838456,-0.031104389547732314,-0.026772620667383118,-0.06527484565357272
BUTLER,-0.3853696297251967,-0.34441479772120864,-0.26070481986845984,-0.3294179695531301,-0.3735538590430289,-0.30751119523567705,-0.3747423516061048
CAMBRIA,-0.38267484662576684,-0.1396984073195527,-0.010721395061872085,-0.377497672419967,-0.3785996484850305,-0.25845426932163346,-0.3838551362328651
CAMERON,-0.49905660377358485,-0.40529100529100526,-0.27558587956096114,-0.47276507276507274,-0.5283018867924529,-0.42041522491349476,-0.5472679965307892
CARBON,-0.35431193323458215,-0.2830152488731179,-0.13998278459220997,-0.3244969273406435,-0.3255739795918367,-0.2550203835120037,-0.3419900115251633
CENTRE,0.02506840606948396,0.012817469736529752,0.13205002045487207,0.04818977586455048,-0.03983954280690183,0.03224119902405015,-0.022582243072350572
CHESTER,0.09917919595338948,0.008821440586102458,0.09188413478606533,0.17304791645896112,0.05569734274133009,0.06668666052569572,0.02471887636275305
CLARION,-0.49278888954834116,-0.5014921131163848,-0.33471571351553103,-0.5141254673867885,-0.5379426644182124,-0.4628244610646723,-0.5471991125901277
CLEARFIELD,-0.5050102619823735,-0.33614693239546695,-0.23283595345945463,-0.5023664986109682,-0.5268137095902259,-0.399418942475305,-0.5075541037158025
CLINTON,-0.3574427739401327,-0.2925737224023468,-0.14983202687569985,-0.36773155596414614,-0.3829582380551209,-0.2989690721649485,-0.33694537999707136
COLUMBIA,-0.3366990867918925,-0.36304831210834854,-0.2048008020996137,-0.31230819458047665,-0.3275372358850017,-0.3009531703273933,-0.3651196212697607
CRAWFORD,-0.38978808610045057,-0.36605806644717154,-0.23826201611075626,-0.3769013812887207,-0.40968489696105154,-0.26324006244746007,-0.38787842165689773
