index,Races,RaceOld,RaceNew,DEM_Oldrace,REP_Oldrace,DEM_Newrace,REP_Newrace,DEMShareOld,DEMShareNew,DEMShareDiff,DEMMarginOld,DEMMarginNew,DEMMarginDiff,DEMVoteDelta,REPVoteDelta
Adams,suprm21_suprm17,suprm17,suprm21,4051.0,10232.0,7581.0,14022.0,0.28362388853882237,0.35092348284960423,0.06729959431078186,-6181.0,-6441.0,-260.0,3530.0,3790.0
Allegheny,suprm21_suprm17,suprm17,suprm21,132836.0,77363.0,182479.0,109494.0,0.6319535297503794,0.6249858719813134,-0.006967657769066049,55473.0,72985.0,17512.0,49643.0,32131.0
Armstrong,suprm21_suprm17,suprm17,suprm21,3877.0,9662.0,4054.0,9676.0,0.2863579289460078,0.29526584122359795,0.008907912277590135,-5785.0,-5622.0,163.0,177.0,14.0
Beaver,suprm21_suprm17,suprm17,suprm21,13422.0,16005.0,16591.0,20475.0,0.45611173412172495,0.44760697134840555,-0.008504762773319408,-2583.0,-3884.0,-1301.0,3169.0,4470.0
Bedford,suprm21_suprm17,suprm17,suprm21,1715.0,5895.0,1982.0,7161.0,0.22536136662286466,0.21677786284589304,-0.008583503776971618,-4180.0,-5179.0,-999.0,267.0,1266.0
Berks,suprm21_suprm17,suprm17,suprm21,23732.0,36744.0,30765.0,41380.0,0.39242013360672,0.4264328782313397,0.03401274462461967,-13012.0,-10615.0,2397.0,7033.0,4636.0
Blair,suprm21_suprm17,suprm17,suprm21,5173.0,12501.0,7137.0,18307.0,0.2926898268643205,0.28049834931614526,-0.012191477548175234,-7328.0,-11170.0,-3842.0,1964.0,5806.0
Bradford,suprm21_suprm17,suprm17,suprm21,2230.0,7042.0,3129.0,8578.0,0.2405090595340811,0.2672759887246946,0.026766929190613492,-4812.0,-5449.0,-637.0,899.0,1536.0
Bucks,suprm21_suprm17,suprm17,suprm21,62452.0,64861.0,91915.0,96972.0,0.49053906513867396,0.4866136896663084,-0.003925375472365544,-2409.0,-5057.0,-2648.0,29463.0,32111.0
Butler,suprm21_suprm17,suprm17,suprm21,9091.0,18643.0,15000.0,28322.0,0.3277926011393957,0.3462444023821615,0.018451801242765797,-9552.0,-13322.0,-3770.0,5909.0,9679.0
Cambria,suprm21_suprm17,suprm17,suprm21,10155.0,13453.0,10986.0,18644.0,0.43015079634022363,0.37077286533918324,-0.059377931001040385,-3298.0,-7658.0,-4360.0,831.0,5191.0
Cameron,suprm21_suprm17,suprm17,suprm21,281.0,664.0,335.0,821.0,0.29735449735449737,0.2897923875432526,-0.007562109811244777,-383.0,-486.0,-103.0,54.0,157.0
Carbon,suprm21_suprm17,suprm17,suprm21,3738.0,6689.0,4934.0,8312.0,0.35849237556344105,0.3724898082439982,0.013997432680557143,-2951.0,-3378.0,-427.0,1196.0,1623.0
Centre,suprm21_suprm17,suprm17,suprm21,12801.0,12477.0,17769.0,16659.0,0.5064087348682649,0.516120599512025,0.00971186464376017,324.0,1110.0,786.0,4968.0,4182.0
Chester,suprm21_suprm17,suprm17,suprm21,53978.0,53034.0,74691.0,65352.0,0.5044107202930512,0.5333433302628479,0.02893260996979663,944.0,9339.0,8395.0,20713.0,12318.0
Clarion,suprm21_suprm17,suprm17,suprm21,1754.0,5283.0,2442.0,6650.0,0.2492539434418076,0.2685877694676639,0.019333826025856288,-3529.0,-4208.0,-679.0,688.0,1367.0
Clearfield,suprm21_suprm17,suprm17,suprm21,4247.0,8548.0,5168.0,12042.0,0.3319265338022665,0.30029052876234746,-0.031636005039919035,-4301.0,-6874.0,-2573.0,921.0,3494.0
Clinton,suprm21_suprm17,suprm17,suprm21,2291.0,4186.0,2414.0,4473.0,0.3537131387988266,0.35051546391752575,-0.0031976748813008493,-1895.0,-2059.0,-164.0,123.0,287.0
Columbia,suprm21_suprm17,suprm17,suprm21,3151.0,6743.0,4217.0,7848.0,0.31847584394582573,0.34952341483630334,0.031047570890477605,-3592.0,-3631.0,-39.0,1066.0,1105.0
Crawford,suprm21_suprm17,suprm17,suprm21,4236.0,9128.0,6135.0,10519.0,0.31697096677641423,0.36837996877626994,0.05140900199985571,-4892.0,-4384.0,508.0,1899.0,1391.0
Cumberland,suprm21_suprm17,suprm17,suprm21,14593.0,26429.0,23726.0,32847.0,0.35573594656525764,0.4193873402506496,0.06365139368539197,-11836.0,-9121.0,2715.0,9133.0,6418.0
Dauphin,suprm21_suprm17,suprm17,suprm21,17805.0,26163.0,28989.0,31112.0,0.40495360262008734,0.4823380642584982,0.07738446163841084,-8358.0,-2123.0,6235.0,11184.0,4949.0
Delaware,suprm21_suprm17,suprm17,suprm21,63423.0,62344.0,78741.0,64207.0,0.5042896785325244,0.5508366678792288,0.046546989346704426,1079.0,14534.0,13455.0,15318.0,1863.0
Elk,suprm21_suprm17,suprm17,suprm21,2248.0,3464.0,2503.0,4790.0,0.39355742296918766,0.3432058137940491,-0.05035160917513859,-1216.0,-2287.0,-1071.0,255.0,1326.0
Erie,suprm21_suprm17,suprm17,suprm21,25620.0,30974.0,38575.0,28776.0,0.4526981658833092,0.5727457647250969,0.12004759884178767,-5354.0,9799.0,15153.0,12955.0,-2198.0
Fayette,suprm21_suprm17,suprm17,suprm21,8302.0,10375.0,9892.0,12936.0,0.44450393532151844,0.43332749255300507,-0.011176442768513373,-2073.0,-3044.0,-971.0,1590.0,2561.0
