index,Races,RaceOld,RaceNew,DEM_Oldrace,REP_Oldrace,DEM_Newrace,REP_Newrace,DEMShareOld,DEMShareNew,DEMShareDiff,DEMMarginOld,DEMMarginNew,DEMMarginDiff,DEMVoteDelta,REPVoteDelta
Adams,suprr21_suprr17,suprr17,suprr21,4659.75,8155.75,6975.0,14490.0,0.3636026686434396,0.3249475890985325,-0.0386550795449071,-3496.0,-7515.0,-4019.0,2315.25,6334.25
Allegheny,suprr21_suprr17,suprr17,suprr21,126480.5,64429.75,169948.0,119757.0,0.6625128823622618,0.5866243247441363,-0.07588855761812552,62050.75,50191.0,-11859.75,43467.5,55327.25
Armstrong,suprr21_suprr17,suprr17,suprr21,4243.25,7044.75,3393.0,10237.0,0.37590804394046773,0.24893617021276596,-0.12697187372770177,-2801.5,-6844.0,-4042.5,-850.25,3192.25
Beaver,suprr21_suprr17,suprr17,suprr21,13833.5,11764.25,14814.0,22115.0,0.5404185914777666,0.40114814915107366,-0.13927044232669294,2069.25,-7301.0,-9370.25,980.5,10350.75
Bedford,suprr21_suprr17,suprr17,suprr21,1682.5,4877.0,1677.0,7470.0,0.2564982087049318,0.18333879960642835,-0.07315940909850344,-3194.5,-5793.0,-2598.5,-5.5,2593.0
Berks,suprr21_suprr17,suprr17,suprr21,24231.5,30112.0,28443.0,43069.0,0.44589509324942267,0.397737442666965,-0.04815765058245769,-5880.5,-14626.0,-8745.5,4211.5,12957.0
Blair,suprr21_suprr17,suprr17,suprr21,4842.0,10831.25,5910.0,19498.0,0.30893401177164914,0.23260390428211586,-0.07633010748953328,-5989.25,-13588.0,-7598.75,1068.0,8666.75
Bradford,suprr21_suprr17,suprr17,suprr21,2482.0,5576.25,2781.0,8745.0,0.30800732168895234,0.24128058302967204,-0.0667267386592803,-3094.25,-5964.0,-2869.75,299.0,3168.75
Bucks,suprr21_suprr17,suprr17,suprr21,60914.25,56475.5,87888.0,100163.0,0.5189060373669763,0.46736257717321367,-0.0515434601937626,4438.75,-12275.0,-16713.75,26973.75,43687.5
Butler,suprr21_suprr17,suprr17,suprr21,9414.0,16053.5,13499.0,29680.0,0.3696475900657701,0.3126288241969476,-0.057018765868822485,-6639.5,-16181.0,-9541.5,4085.0,13626.5
Cambria,suprr21_suprr17,suprr17,suprr21,10622.75,10853.0,9102.0,20443.0,0.49463930246906396,0.3080724318835674,-0.18656687058549654,-230.25,-11341.0,-11110.75,-1520.75,9590.0
Cameron,suprr21_suprr17,suprr17,suprr21,305.25,537.5,261.0,892.0,0.36220706021951943,0.2263660017346054,-0.13584105848491404,-232.25,-631.0,-398.75,-44.25,354.5
Carbon,suprr21_suprr17,suprr17,suprr21,3996.5,5297.5,4282.0,8733.0,0.430008607703895,0.32900499423741836,-0.10100361346647663,-1301.0,-4451.0,-3150.0,285.5,3435.5
Centre,suprr21_suprr17,suprr17,suprr21,12798.25,9812.5,16772.0,17547.0,0.566025010227436,0.4887088784638247,-0.0773161317636113,2985.75,-775.0,-3760.75,3973.75,7734.5
Chester,suprr21_suprr17,suprr17,suprr21,54591.75,45403.75,71717.0,68257.0,0.5459420673930326,0.5123594381813765,-0.03358262921165611,9188.0,3460.0,-5728.0,17125.25,22853.25
Clarion,suprr21_suprr17,suprr17,suprr21,2005.25,4023.0,2041.0,6974.0,0.33264214324223446,0.22640044370493623,-0.10624169953729823,-2017.75,-4933.0,-2915.25,35.75,2951.0
Clearfield,suprr21_suprr17,suprr17,suprr21,4318.75,6940.25,4221.0,12922.0,0.3835820232702727,0.2462229481420988,-0.13735907512817389,-2621.5,-8701.0,-6079.5,-97.75,5981.75
Clinton,suprr21_suprr17,suprr17,suprr21,2372.5,3208.75,2264.0,4565.0,0.4250839865621501,0.33152731000146435,-0.09355667656068573,-836.25,-2301.0,-1464.75,-108.5,1356.25
Columbia,suprr21_suprr17,suprr17,suprr21,3370.75,5107.0,3755.0,8074.0,0.39759959895019314,0.31744018936511964,-0.0801594095850735,-1736.25,-4319.0,-2582.75,384.25,2967.0
Crawford,suprr21_suprr17,suprr17,suprr21,4621.75,7513.0,5065.0,11484.0,0.38086899194462187,0.30606078917155116,-0.07480820277307071,-2891.25,-6419.0,-3527.75,443.25,3971.0
